Invoice ID,Branch,City,Customer_type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
371-85-5789,B,深圳,Normal,2011,Health and beauty,87.98,3,13.197,100.000 ,2021/3/5,10:40,Ewallet,263.94,4.761904762,13.197,100.000 
273-16-6619,B,深圳,Normal,2012,Home and lifestyle,33.2,2,3.32,100.000 ,2021/3/15,12:20,Credit card,66.4,4.761904762,3.32,100.000 
636-48-8204,A,深圳,Normal,2013,Electronic accessories,34.56,5,8.64,100.000 ,2021/2/17,11:15,Ewallet,172.8,4.761904762,8.64,100.000 
549-59-1358,A,深圳,Member,2014,Sports and travel,88.63,3,13.2945,100.000 ,2021/3/2,17:36,Ewallet,265.89,4.761904762,13.2945,100.000 
227-03-5010,A,深圳,Member,2015,Home and lifestyle,52.59,8,21.036,100.000 ,2021/3/22,19:20,Credit card,420.72,4.761904762,21.036,100.000 
649-29-6775,B,深圳,Normal,2016,Fashion accessories,33.52,1,1.676,100.000 ,2021/2/8,15:31,Cash,33.52,4.761904762,1.676,100.000 
189-17-4241,A,深圳,Normal,2017,Fashion accessories,87.67,2,8.767,100.000 ,2021/3/10,12:17,Credit card,175.34,4.761904762,8.767,100.000 
145-94-9061,B,深圳,Normal,2018,Food and beverages,88.36,5,22.09,100.000 ,2021/1/25,19:48,Cash,441.8,4.761904762,22.09,100.000 
848-62-7243,A,上海,Normal,1990,Health and beauty,24.89,9,11.2005,99.656 ,2021/3/15,15:36,Cash,224.01,4.761904762,11.2005,97.938 
871-79-8483,B,上海,Normal,1991,Fashion accessories,94.13,5,23.5325,99.658 ,2021/2/25,19:39,Credit card,470.65,4.761904762,23.5325,98.973 
149-71-6266,B,上海,Member,1992,Sports and travel,78.07,9,35.1315,96.587 ,2021/1/28,12:43,Cash,702.63,4.761904762,35.1315,98.294 
640-49-2076,B,上海,Normal,1993,Sports and travel,83.78,8,33.512,99.658 ,2021/1/10,14:49,Cash,670.24,4.761904762,33.512,97.260 
595-11-5460,A,上海,Normal,1994,Health and beauty,96.58,2,9.658,99.315 ,2021/3/15,10:12,Credit card,193.16,4.761904762,9.658,95.205 
183-56-6882,C,上海,Member,1995,Food and beverages,99.42,4,19.884,99.659 ,2021/2/6,10:42,Ewallet,397.68,4.761904762,19.884,96.928 
232-16-2483,C,上海,Member,1996,Sports and travel,68.12,1,3.406,90.411 ,2021/1/7,12:28,Ewallet,68.12,4.761904762,3.406,97.945 
129-29-8530,A,上海,Member,1997,Sports and travel,62.62,5,15.655,99.659 ,2021/3/10,19:15,Ewallet,313.1,4.761904762,15.655,98.294 
272-65-1806,A,上海,Normal,1998,Electronic accessories,60.88,9,27.396,98.635 ,2021/1/15,17:17,Ewallet,547.92,4.761904762,27.396,96.928 
333-73-7901,C,上海,Normal,1999,Health and beauty,54.92,8,21.968,99.317 ,2021/3/23,13:24,Ewallet,439.36,4.761904762,21.968,96.928 
777-82-7220,B,上海,Member,2000,Home and lifestyle,30.12,8,12.048,99.659 ,2021/3/3,13:01,Cash,240.96,4.761904762,12.048,87.031 
280-35-5823,B,上海,Member,2001,Home and lifestyle,86.72,1,4.336,100.000 ,2021/1/17,18:45,Ewallet,86.72,4.761904762,4.336,98.294 
554-53-8700,C,上海,Member,2002,Home and lifestyle,56.11,2,5.611,100.000 ,2021/2/2,10:11,Cash,112.22,4.761904762,5.611,97.270 
354-25-5821,B,上海,Member,2003,Sports and travel,69.12,6,20.736,99.659 ,2021/2/8,13:03,Cash,414.72,4.761904762,20.736,94.539 
228-96-1411,C,上海,Member,2004,Food and beverages,98.7,8,39.48,99.317 ,2021/3/4,20:39,Cash,789.6,4.761904762,39.48,96.587 
617-15-4209,C,上海,Member,2005,Health and beauty,15.37,2,1.537,99.659 ,2021/3/16,19:47,Cash,30.74,4.761904762,1.537,96.587 
132-32-9879,B,上海,Member,2006,Electronic accessories,93.96,4,18.792,98.976 ,2021/3/9,18:00,Cash,375.84,4.761904762,18.792,98.635 
370-41-7321,B,上海,Member,2007,Health and beauty,56.69,9,25.5105,99.317 ,2021/2/27,17:24,Credit card,510.21,4.761904762,25.5105,97.952 
727-46-3608,B,上海,Member,2008,Food and beverages,20.01,9,9.0045,99.659 ,2021/2/6,15:47,Ewallet,180.09,4.761904762,9.0045,98.294 
669-54-1719,B,上海,Member,2009,Electronic accessories,18.93,6,5.679,99.659 ,2021/2/10,12:45,Credit card,113.58,4.761904762,5.679,98.976 
574-22-5561,C,上海,Member,2010,Fashion accessories,82.63,10,41.315,99.659 ,2021/3/19,17:08,Ewallet,826.3,4.761904762,41.315,98.294 
326-78-5178,C,上海,Member,2011,Food and beverages,91.4,7,31.99,99.659 ,2021/2/3,10:19,Cash,639.8,4.761904762,31.99,98.294 
162-48-8011,A,上海,Member,2012,Food and beverages,44.59,5,11.1475,99.659 ,2021/2/10,15:10,Cash,222.95,4.761904762,11.1475,99.317 
616-24-2851,B,上海,Member,2013,Fashion accessories,17.87,4,3.574,99.659 ,2021/3/22,14:42,Ewallet,71.48,4.761904762,3.574,99.317 
778-71-5554,C,上海,Member,2014,Fashion accessories,15.43,1,0.7715,99.659 ,2021/1/25,15:46,Credit card,15.43,4.761904762,0.7715,99.317 
242-55-6721,B,上海,Normal,2015,Home and lifestyle,16.16,2,1.616,99.659 ,2021/3/7,11:49,Ewallet,32.32,4.761904762,1.616,98.635 
399-46-5918,C,上海,Normal,2016,Electronic accessories,85.98,8,34.392,99.659 ,2021/2/28,19:01,Cash,687.84,4.761904762,34.392,98.294 
106-35-6779,A,上海,Member,2017,Home and lifestyle,44.34,2,4.434,99.659 ,2021/3/27,11:26,Cash,88.68,4.761904762,4.434,98.976 
635-40-6220,A,上海,Normal,2018,Health and beauty,89.6,8,35.84,99.659 ,2021/2/7,11:28,Ewallet,716.8,4.761904762,35.84,98.976 
